,gene,pvalue,chromosome
0,id1000001,3.358959635586424e-11,ch-1
1,id1000003,1.5435990265318714e-11,ch-1
2,id1000005,0.00017413727846689366,ch-1
3,id1000007,2.207715882138475e-06,ch-1
4,id1000008,2.0764555237740223e-11,ch-1
5,id1000011,0.002068948323596425,ch-1
6,id1000013,9.475869715085015e-05,ch-1
7,id1000015,2.0764555237740223e-11,ch-1
8,id1000016,1.4226417698852536e-11,ch-1
9,id1000020,3.0699889147210216e-06,ch-1
10,id1000024,0.0040680585238726625,ch-1
11,id1000026,0.5139658223403487,ch-1
12,id1000027,0.001684712116808751,ch-1
13,id1000030,4.079991670786328e-06,ch-1
14,id1000043,5.3765221497403934e-14,ch-1
15,id1000051,0.01656688795158261,ch-1
16,id1000057,0.00014076783728858179,ch-1
17,id1000058,9.853463173230074e-14,ch-1
18,id1000062,7.210856097386179e-14,ch-1
19,id1000074,1.3800441006679428e-08,ch-1
20,id1000075,1.6993523367116338e-08,ch-1
21,id1000079,0.00010938024265487812,ch-1
22,id1000080,3.0301327166531757e-15,ch-1
23,id1000086,0.0003203331800700521,ch-1
24,id1000087,9.849325333042395e-05,ch-1
25,id1000091,1.4739446098839989e-08,ch-1
26,wd1000022,8.18216519092852e-14,ch-1
27,wd1000029,0.00010343177879934938,ch-1
28,id1000093,9.65604355176304e-15,ch-1
29,id1000104,2.1867827290074763e-10,ch-1
30,id1000109,2.238013872704257e-05,ch-1
31,id1000115,2.56610816192019e-05,ch-1
32,id1000122,2.891896426974253e-14,ch-1
33,id1000130,4.7637326801842545e-08,ch-1
34,id1000131,9.206362480543923e-08,ch-1
35,id1000139,1.970613070220502e-06,ch-1
36,id1000159,1.9351060363122325e-08,ch-1
37,id1000179,2.261702363323075e-15,ch-1
38,id1000180,1.0271199073165785e-06,ch-1
39,id1000195,2.3902914301609147e-05,ch-1
40,id1000196,3.3539385281015815e-06,ch-1
41,id1000211,6.570626435182838e-15,ch-1
42,id1000215,2.768802394801474e-15,ch-1
43,id1000217,0.4997004823380661,ch-1
44,id1000220,8.245381659627367e-07,ch-1
45,id1000223,5.258516659125439e-14,ch-1
46,id1000232,6.534294980030554e-14,ch-1
47,id1000234,2.8256958192437285e-14,ch-1
48,ud1000033,0.04199195998950181,ch-1
49,id1000255,1.2153474973868842e-05,ch-1
50,id1000256,6.372194325277942e-14,ch-1
51,id1000259,5.2145640060987016e-05,ch-1
52,id1000264,2.5067376278229744e-07,ch-1
53,id1000280,1.705215627733523e-13,ch-1
54,id1000283,1.4844326482294782e-05,ch-1
55,id1000309,1.683548346698186e-07,ch-1
56,id1000313,3.5281773578300186e-11,ch-1
57,id1000315,1.070197374689232e-13,ch-1
58,id1000324,1.0337706704128122e-13,ch-1
59,id1000327,1.4844326482294782e-05,ch-1
60,id1000328,4.47803334750699e-15,ch-1
61,id1000337,8.264784705871483e-16,ch-1
62,id1000341,3.2676411990315e-15,ch-1
63,id1000350,4.781091000877779e-07,ch-1
64,id1000354,5.8123965414835687e-08,ch-1
65,id1000358,0.630138563398047,ch-1
66,ud1000037,6.345741149700197e-09,ch-1
67,id1000371,0.6190173778106138,ch-1
68,id1000386,9.052923545367912e-14,ch-1
69,id1000392,0.005177810812434541,ch-1
70,id1000399,7.127260526392274e-13,ch-1
71,id1000407,2.2937606216092388e-05,ch-1
72,id1000420,9.566641826188535e-08,ch-1
73,id1000423,6.60805477742548e-05,ch-1
74,id1000431,3.162046897680937e-06,ch-1
75,id1000435,1.4257893615031443e-12,ch-1
76,id1000445,0.0002829131664374253,ch-1
77,id1000452,0.027552867874356835,ch-1
78,id1000457,0.6616988697292283,ch-1
79,id1000478,1.1332411876725491e-10,ch-1
80,id1000482,1.0514190416612291e-10,ch-1
81,id1000486,0.2554152641236466,ch-1
82,id1000503,1.3213350823833871e-11,ch-1
83,id1000506,4.5022101413223505e-11,ch-1
84,id1000528,0.7022031385515763,ch-1
85,id1000529,0.8889654716436468,ch-1
86,id1000542,1.8049974574123225e-11,ch-1
87,id1000547,9.508078917818033e-12,ch-1
88,id1000556,3.2675779002754868e-12,ch-1
89,id1000560,1.5107483837294644e-05,ch-1
90,id1000561,0.15676893199302902,ch-1
91,id1000568,2.962058931956043e-11,ch-1
92,id1000583,0.2555721472422627,ch-1
93,id1000585,4.8599287584241983e-05,ch-1
94,id1000589,2.0826072777039854e-05,ch-1
95,id1000590,7.585678166530516e-06,ch-1
96,id1000595,8.081854817759048e-11,ch-1
97,id1000603,0.9054342830042503,ch-1
98,id1000618,0.009588032262747726,ch-1
99,id1000660,0.3448283093767841,ch-1
100,id1000661,0.03309735144226005,ch-1
101,id1000662,3.165624211757632e-05,ch-1
102,id1000665,0.42192993453586025,ch-1
103,id1000668,4.3742234490152504e-05,ch-1
104,id1000673,0.3481510193994277,ch-1
105,id1000685,7.766313857257886e-09,ch-1
106,id1000686,0.0635831299062758,ch-1
107,id1000711,6.566593933806927e-05,ch-1
108,id1000719,0.30597796520844617,ch-1
109,id1000721,9.816034857766286e-06,ch-1
110,id1000723,5.317531784701342e-168,ch-1
111,id1000731,,ch-1
112,id1000744,3.2054746841311848e-06,ch-1
113,id1000759,6.195060602350169e-10,ch-1
114,id1000770,2.2182195937953757e-07,ch-1
115,id1000771,0.0001539111516841912,ch-1
116,id1000773,2.4539331503915335e-05,ch-1
117,id1000776,4.600837528122191e-12,ch-1
118,id1000781,1.1522690195054955e-05,ch-1
119,id1000783,2.0238917696859962e-05,ch-1
120,id1000801,2.6129094426926792e-08,ch-1
121,id1000806,5.3512417557815e-06,ch-1
122,ud1000052,2.9863449150657634e-05,ch-1
123,id1000835,0.19409333305943216,ch-1
124,id1000841,5.476903913593092e-06,ch-1
125,id1000846,5.006653685652798e-05,ch-1
126,id1000848,2.8744514872618964e-05,ch-1
127,id1000852,0.00014429461875117597,ch-1
128,id1000854,1.4792949000092702e-05,ch-1
129,id1000855,0.00024677857351140987,ch-1
130,id1000856,6.379871341105856e-05,ch-1
131,id1000857,5.6138811897455425e-05,ch-1
132,id1000858,4.144960312449899e-15,ch-1
133,id1000866,0.6546927458627727,ch-1
134,id1000875,5.12804972543622e-05,ch-1
135,id1000876,0.5493697382968087,ch-1
136,id1000881,6.797432749680422e-14,ch-1
137,id1000885,0.7594113441419013,ch-1
138,id1000886,1.4891322357059632e-09,ch-1
139,id1000894,4.18264353849827e-11,ch-1
140,id1000907,0.19942364751280778,ch-1
141,id1000911,2.3995074832535446e-12,ch-1
142,id1000922,1.880269838398653e-10,ch-1
143,id1000923,2.0244483595666246e-08,ch-1
144,ud1000059,5.573433571795151e-12,ch-1
145,id1000929,0.00023210906426624606,ch-1
146,id1000934,1.7941346930162886e-26,ch-1
147,id1000940,0.00015960827654832807,ch-1
148,id1000941,2.137130638291154e-14,ch-1
149,id1000947,0.044754911205454065,ch-1
150,id1000948,6.021715774933669e-221,ch-1
151,id1000955,0.04280589211955048,ch-1
152,id1000956,1.275799214815762e-05,ch-1
153,id1000960,2.944405251587541e-05,ch-1
154,id1000965,0.04271958292295693,ch-1
155,id1000967,0.0011681880406909553,ch-1
156,id1000968,8.770714494722422e-08,ch-1
157,id1000974,0.00041382429145190143,ch-1
158,id1000977,0.002853055012725847,ch-1
159,id1000980,1.9997133769108788e-09,ch-1
160,id1000987,3.156887995436553e-06,ch-1
161,id1000994,1.3458896256240045e-15,ch-1
162,id1000996,0.0006619410389135798,ch-1
163,id1000999,0.0037316957157649913,ch-1
164,id1001003,0.0018051344190704497,ch-1
165,id1001006,0.000547426024001867,ch-1
166,id1001009,8.915331705353164e-10,ch-1
167,id1001015,5.023958472399595e-07,ch-1
168,id1001017,1.415730278079285e-05,ch-1
169,id1001021,1.1717181346277987e-08,ch-1
170,id1001022,4.324233482091678e-09,ch-1
171,id1001024,5.3599679436743915e-216,ch-1
172,id1001025,5.297114509346685e-209,ch-1
173,id1001028,1.0438792485924761e-08,ch-1
174,id1001037,9.751917073985575e-05,ch-1
175,id1001041,2.5726309040189964e-05,ch-1
176,id1001042,2.945085067292782e-07,ch-1
177,id1001049,0.019075710776905567,ch-1
178,id1001051,6.968831828862133e-06,ch-1
179,id1001055,1.9808966646664813e-07,ch-1
180,id1001056,0.05881756747272819,ch-1
181,id1001057,0.030420305491079696,ch-1
182,id1001060,0.01080358951134049,ch-1
183,id1001062,1.5497395447775145e-07,ch-1
184,id1001069,0.014005996385094775,ch-1
185,id1001073,4.301069204060269e-07,ch-1
186,id1001074,0.0162146663807968,ch-1
187,id1001077,6.8776271293132e-05,ch-1
188,id1001102,2.6841110458779015e-05,ch-1
189,id1001106,1.33951844953054e-10,ch-1
190,id1001110,4.4069083907509185e-10,ch-1
191,id1001111,4.601121701365276e-05,ch-1
192,id1001117,7.409037658597396e-05,ch-1
193,id1001120,1.8229417597733842e-06,ch-1
194,ud1000068,8.016080550441233e-07,ch-1
195,id1001125,0.028110393786581474,ch-1
196,wd1000045,1.6813060332412545e-05,ch-1
197,wd1000058,1.9100361032492452e-10,ch-1
198,id1001128,0.03648439184137556,ch-1
199,id1001130,1.5574500978612466e-05,ch-1
200,id1001136,2.4436074633982745e-08,ch-1
201,id1001141,7.319196694743177e-14,ch-1
202,id1001153,0.07482598143311597,ch-1
203,id1001157,2.501780954132228e-07,ch-1
204,id1001165,3.97923902086072e-15,ch-1
205,id1001167,1.0570650780632594e-14,ch-1
206,id1001176,1.3778241901414814e-07,ch-1
207,id1001182,0.04753804426367859,ch-1
208,ud1000074,0.10801887378098371,ch-1
209,ud1000077,4.576153143818342e-07,ch-1
210,id1001184,0.008473582909964477,ch-1
